short_question,short_answer,tags,label,answer_length,question_length
i have a tiny mole is this cancer,ekgs are not positive or negative they are normal or abnormal i suspect your negative result was an odd way of telling you it was normal,[''],-1.0,136,33
can anxiety a side affect to depression,not a side effect per se but a person can have both anxiety and depression,['anxiety' 'depression'],1.0,74,39
can shingles occur in the scalp,yes both cold weather and exercise can be triggers that lead to asthma symptoms other common triggers include allergies heartburn and sinus and upper respiratory infections here is a link to an article that describes various asthma triggers <link> take care,['shingles' 'scalp'],-1.0,257,31
what could be the cause for rise in bp,hi amplitude in non dominant hand is kinda irrelevant we usually focus on delay so you are okay if there is no delay good luck,['blood pressure monitor'],-1.0,126,38
can type 2 diabetes cause hair loss,hi have a read through this forum may help you and give you some answers for help <link> just copy into google to the www to open and read good luck,['type 2 diabetes' 'hair loss'],1.0,148,35
is sebhorric dermatitis contagious,no seborrheic dermatitis is not contagious,['dermatitis'],1.0,42,34
is lipitor used to treat migraines,however doing moderate work regular walking healthy diet and keeping stress minimal help in keeping heart healthier,['migraine'],-1.0,115,34
what is type 1 diabetes,type 1 diabetes is called as insulin dependent diabetes it is a chronic condition in which pancreas secretes no insulin a hormone required by the body to regulate glucose levels in the body amongst hundred diabetics approximately 10 suffer from type 1 diabetes treatment is insulin injections,['type 1 diabetes'],1.0,292,23
how is dry mouth treated,hi only ones who have unprotected sex before you have sex you really need to know what happens when it goes wrong like getting pregnant so have you not heard of plan b its a morning after pill have you not heard of condoms or just telling the guy no,['dry mouth'],-1.0,249,24
can b12 help alzhiemers,having an adequate b12 intake is essential for all humans whether the person has alzheimer disease or not low b12 can result in pernicious anemia the jury is certainly out whether b12 has any therapeutic effect on alzheimer disease however,['b12'],1.0,239,23
what are some early signs of pregnancy,before it is too early to know if you have missed your period there are some early signs of pregnancy extreme unexplainable fatigue food aversions sensitivity to smells nausea and vomiting breast swelling and tenderness frequent urination shortness of breath physical changes,['pregnancy'],1.0,275,38
i have a lump at the bottom of my spine,in my opinion this could be a bursa inflamed synovial sac or thickened posterior longitudinal ligament hot packs ultra sound and anti inflammatory gels can help,['spine protrusion'],1.0,160,39
can having trichomoniasis cause boils,no this parasite does not cause boils,['trichomoniasis' 'boil'],1.0,37,37
does dehydration change color of poop,depends as we get older our kidneys naturally slow down in their ability to clear medicines from our bodies so the dosages of some medicines may need to be lowered accordingly aside from that there is no special reason that medicines need to fundamentally be different at any given age,['dehydration'],-1.0,285,37
why are steroids injected,you can swim you will not spread ringworm of the scalp through pool water,['injection' 'steroid'],-1.0,73,25
i have seizure like events,u should also know that heart problems can cause ed,['seizures'],-1.0,51,26
can i get a uti from taking baths,have your medical provider order a more sensitive blood pregnancy test at this point and make an appointment for an examination,[''],-1.0,127,33
can you clean toys after trich,you should clean your sex toys anyway especially after trich,[''],1.0,60,30
what is a male condom,the male condom or rubber  is a thin covering made of latex plastic or animal membrane that is rolled over an erect penis the covering prevents semen the fluid that contains sperm from entering a woman is vagina,['condom'],1.0,211,21
can a multivitamin cause acne,no multivitamin does not cause acne,['multivitamin' 'acne'],1.0,35,29
are cold sores a sign of pregnancy,lubricate dry tissue and surrounding area,['cold sore' 'pregnancy'],-1.0,41,34
is olive oil good for dermatitis,it depends on the type of dermatitis the word dermatitis is very vague and only means inflammation of the skin there can thousands of types of dermatitis,['dermatitis' 'oil' 'olive'],1.0,153,32
when i can feed my baby baby cereal,how old is your baby most pediatricians do not want solids until the baby is about 6 months old breast milk andor formula is all the baby needs until age six months,['feeding' 'baby' 'cereal'],1.0,164,35
could i be pregnant please help,hi have you tried doing a home test see if are then will save all the guessing your doing now good luck,['pregnancy'],1.0,103,31
do shingles make you pee blue,no,['shingles'],1.0,2,29
what is diarrhea,if you feel uneasy or uncomfortable it is always best to consult your doctor it is better to be safe than sorry goodluck <positive_smiley>,['diarrhea'],-1.0,138,16
i have seizure like events,i believe sir its just tics not to be worried about but i can assure u its not epilipsy coz you will never remember what happened to you,['seizures'],1.0,136,26
my mom is in a depression…what can i do,yes she needs aggressive counselling from doctor and equal support and cooperation from ur family,['depression'],1.0,97,39
is it toxic shock syndrome,zygote intrafallopian transfer zift is an assisted reproductive technique similar to ivf in vitro fertilization that involves removing sperm and eggs combining them outside the body and inserting fertilized eggs into the fallopian tubes,['toxic shock syndrome'],-1.0,236,26
can soy give you cancar,no if it did millions of people would have it especially asian countries soy is just fine,['cancer' 'soy'],1.0,89,23
took depo shot when will bleeding stop,hi i think this link below should help you <link> just copy link into google to the www to open and read ok good luck,['took depo shot' 'when will bleeding stop'],-1.0,117,38
is there a generic drug for asmanex,no there is not a generic equivalent for this drug but there are many other similar drugs on the market for treating asthma if cost is a factor as it is for most people your medical provider may be able to suggest an alternative that is less expensive,['drug'],1.0,251,35
chances of pregnancy,hi if you have been having unprotected sex then there will always be a chance of pregnancy unless you on the bc pill and taken it daily then you should be ok good luck,['pregnancy'],1.0,167,20
incubation period of pink eye,quick there are several different causes of pink eye conjunctivitis but the viral and bacterial pathogens can cause an infection in others in less than a day pink eye caused by allergies or chemical irritants are not contagious,['pink eye'],1.0,227,29
how do doctors treat infertility,hi only if by any chance you after sex somehow wiped any sperm from your anus over your vagina or the was any kind of leakage of sperm if you was in the kneeling position into your vagina so if no and no then your should be ok and not pregnant do hope this helps good luck,['infertility'],-1.0,272,32
what do warts look like,warts are growths on the skin caused by the human papilloma virus hpv which enters the skin through a cut or scratch and causes cells to multiply rapidly,['wart'],1.0,153,23
how is a hernia repaired,hi taking self medications may be dangerous you need to take thyronorm but it needs to be prescribed by a endocrinologist depending upon the variations in tsh levelsthanks,['hernia'],-1.0,171,24
can you get pregnant by giveing head,chronic fatigue syndrome is a common complication to ebv infection i recommend you to seek psychological advice,['pregnancy' 'head'],-1.0,111,36
how can i treat my sinus infection,most sinus infections can be treated with a combination of self care measures controlling allergies and medical treatment if self care measures do not prevent sinus problems further testing or a referral to an ears nose and throat specialist may be in order,['sinus infection'],1.0,257,34
can viagra cause prostate cancer,hi here is a very interesting piece of info that you should read it should answer your question the link <link> good luck,['prostate cancer'],1.0,121,32
epigastric pain…what is wrong,an upper gastro intestinal endoscopy will give a clear idea if there are any variations in the mucosal lining of the gut that may be causing the problem spicy foods may some times be a reason for such mucosal erosions abdominal exercises and yoga may alleviate your symptoms to a large extent thanks,['epigastric pain' 'lactose intolerance'],1.0,299,29
does bc powder contains naproxen sodium,it does not contain naproxen sodium bc powder original formula active ingredients  each powder contains aspirin 845 mg and caffeine 65 mg arthritis strength bc powder active ingredients  each powder contains aspirin 1000 mg and caffeine 65 mg,[''],1.0,242,39
does saliva kill sperm,hi acute exacerbations of asthmatic attacks can occur due to weather changes or reduced lung capacity get spirometry done to assess the lung functions deep breathing exercises and yoga will be helpful in a long run thanks,['sperm' 'spit'],-1.0,221,22
how is phimosis treated,i recommend u yo start doing ivf its now with a very high success rate i recommend u as dr ayman said as well to treat the adhesions first … inside the uterus good luck,[''],-1.0,168,23
how is bacterial jock itch treated,in my opinion definitely not meningitis 4 years is a long time for common neck problems to exist without any change you should stay focused on reaching a diagnosis not on a treatment a cbc test mri neck and xray must be done first do you have symptoms like fever lymph node swelling,['jock itch' 'bacterium'],-1.0,282,34
i have not had a period for 4 months,in my opinion your symptoms are either of pregnancy or pcos ultrasound will reveal the situation redo the bhcg test in another lab also for confirmation thanks,['no menstruation'],1.0,159,36
do i have costochondritis,yes it is possible that you can become pregnant this early after your miscarriage please get it checked and confirmed by your gynaecologist,['costochondritis'],-1.0,139,25
what is clomid for infertility,clomid is a fertility drug given to women to stimulate ovulation,['infertility'],1.0,64,30
im breast feeding can i smoke marijuana,no if it has been determined that your husband needs testosterone replacement therapy only prescription forms are considered safe and effective and are approved by the fda,['smoking' 'marijuana'],-1.0,171,39
i have yellow bumps in my throat,hi this is upper respiratory tract infection hot saline water  betadine mouth gargles with antibiotics will help multivitamin tablets will accelerate the recovery process thanks,['yellow bumps in my throat'],1.0,177,32
will lamisil tablets clear up eczema,no lamisil is for fungal infection atopic dermatitis is not fungal it is just genetically dry skin,['atopic dermatitis'],1.0,98,36
how will a doctor treat my warts,other early side effects are usually specific to the site that receives the radiation for example radiation therapy to the head neck or parts of the digestive system can result in a loss of appetite mouth problems hearing problems nausea vomiting and diarrhea,['wart'],-1.0,259,32
pure blood in urine…quite a lot,a month away in s africa i would want to be worry free on vacation “pure” blood in urine should be checked out could be more than just a “calcium buildup”,['blood in urine'],1.0,154,31
can a yeast infection cause trich,the pregnancy tests are not likely to be wrong if you are bleeding it would be wise for you to see your medical provider or obgyn for an examination to determine the source and reason,['yeast infection'],-1.0,183,33
what causes leg burning after a fall,in my opinion i recommend you see an urologist as i suspecting kidney problem yes can cause all body pain check for protein in urinehonestly i have no idea why your rheumatologist prescribed medication may be symptomatic treatment good luck,['leg' 'burn'],-1.0,240,36
what conditions does pain & fever treat,this drug is used to treat mild to moderate pain from headaches menstrual periods toothaches backaches osteoarthritis or coldflu aches and pains and to reduce fever,['fever' 'pain'],1.0,164,39
i have horrible pain along my right leg,i am afraid it is sciatica u need to visit aphysiotherapist,['pain starts at my lower back'],1.0,59,39
i have not had a period for 4 months,pregnancy test is diagnostic as your provisional diagnosis for the delayed menses and pica is suggesting pregancy if not go for pelviabdominal us for ruling out pco also do hormonal check up lh fsh progesterone and testesterone t3 t4 and tsh …best regards,['no menstruation'],1.0,255,36
how can ringworm be prevented,i do not believe that the temperature of any liquid will effect digestion either positively or negatively,['ringworm'],-1.0,105,29
why do farts smell,how old are you how long have you been smoking dyspnea is closely related to smoking please do the following this routine check up cbc rbs random blood sugar thyroid function test formal fundus examination urine and stool analysis,[''],-1.0,230,18
does foot detox have a medical benefit,no those patches that go on your feet to pull out the toxins are worthless,['foot'],1.0,74,38
i had facial paralysis 6 years ago,in my opinion you need to do a sputum bacterial culture to check for respiratory tract infection also you should do spirometry and methacholine challenge tests for asthma till then i recommend you increase your viramind a and c intake +increase your fluid intake good luck,['i had facial paralysis'],-1.0,272,34
can fruit make you gain weight,no eczema atopic dermatitis is genetically dry skin swimming pool chemicals can certainly cause other forms of dry skin or contact dermatitis or make existing eczema worse,['fruit'],-1.0,171,30
what are allergy shots,the watery nose and eyes can be improved with an antihistamine either benadryl or children is claritin or zyrtec the slight headache can be improved by ibuprofen or acetaminophen,['allergy' 'injection'],-1.0,178,22
how can i use fresh cranberries,you should not get signs of syphilis like a chancre in just two days and yes you will need a blood test to determine if you have syphilis rpr a special urine test can detect chlamydia and gonorrhea where you checked for herpes,['cranberry'],-1.0,226,31
woke up with my upper left arm in pain,hi there in my opinion you should do a cervical mri to check for thoracic inlet syndrome c45 c56 discs and spondylitis you may also need a nerve conduction study to pin point the problem area and other possibilitiesgood luck,['upper left arm in pain'],1.0,224,38
is beaver safe to eat during pregnancy,if he is eating your beaver it really should not be a problem have fun,['pregnancy'],1.0,70,38
is ear piercing elective surgery,of course getting your ears pierced is a personal choice and not a medical necessity by definition this is elective insurance companies do not pay for these cosmetic procedures,['ears' 'piercing' 'surgery'],1.0,176,32
does hrt cause midlife weight gain,i recommend doing a new mri imaging as this may be lateral meniscial problem or non removed part of your meniscus or to a less extent iliotibial band,['hormone replacement therapy' 'weight gain'],-1.0,149,34
how is a sinus infection diagnosed,shop for a plan on healthcare gov to see what your options are once you qualify for medicare you will drop the plan you buy through the marketplace and sign up for medicare,['sinus infection'],-1.0,172,34
what causes nausea or vomiting,hi acinetobacter anitratus is usually not a concern however in rare cases it can cause toxicity + fever + sever pain for your second question yes your symptoms does occur with dysbacteriosis good luck,['nausea' 'vomit'],-1.0,200,30
how are arrhythmias diagnosed,only if you smoke instead of drink water cigarettes do not cause dehydration but a reduced intake of fluids andor diarrhea certainly can,['arrhythmia'],-1.0,136,29
what is an ophthalmoplegic migraine,go to your pharmacist to learn about the drugs you are taking not physicians physicians only receive a few hours of pharmacology education they get their education from the pharm reps who you see sitting in their offices waiting to see them pretty scary but true,['migraine'],-1.0,262,35
how can hyperthyroidism be prevented,i believe this webmd link will answer your question <link>,['hyperthyroidism'],-1.0,58,36
i have back pain with red spotty rashes,hi it seems to be a type of infection or an allergic rash if creams have not worked you can take oral anti allergicanti biotic tablets after consulting a dermatologist take analgesic tablets for back pain if pain persists get an xray done thanks,['red rashes'],1.0,245,39
what are kegel exercises,no sexual activity in any position will not make your butt bigger or fatter unless of course you get pregnant or over eat the size of your buttocks is often genetically determined and influenced by your diet,['exercise'],-1.0,207,24
what are injection sites,injection sites are places on the body where people can inject insulin most easily,['injection'],1.0,82,24
what causes parkinson is disease,hi these seem to be skin infection or allergic reaction apply local cream if doesnt resolve u should consult a dermatologist before applying cream or taking any medicines consult your gynecologist to find out if the medicines are safe for the baby thanks,"['""parkinsons disease""']",-1.0,254,32
is it legg perthes calvé disease,hi yes its perthe is disease avascular necrosis of femoral head epiphysis stage 2 3 it is irreversible and natural remodelling is usually impossible at this stage needs surgery at a later age at present hip abduction splints with vitamin d and calcium will help thanks,[''],1.0,268,32
should my pets sleep in my bed,some bc cause the body to not have periods i personally have been on every kind and never had a period while on it i actually had to stop because it is unhealthy for your body to stop a natural process,['pets'],-1.0,201,30
what causes osteoporosis,sun protection and regular moisturizing do not overwash and be sure to moisturize after each wash also you can apply facial antiaging moisturizers on the back of your hands at night when you will not be constantly washing your hands,['osteoporosis'],-1.0,232,24
can a baby drink goat is milk,instead of what a baby under age one should be on formula or human breast milk but after age one they can drink cow is milk goat milk yak milk etc as part of their diet if the child is being offered goat is milk that has not been pasteurized care should be taken to avoid any milk borne pathogens,['drinking' 'baby' 'milk'],1.0,296,29
can smoking cause asthma,true asthma is an allergic disorder smoking can cause an asthma like condition called emphysema or copd chronic obstructive pulmonary disease as well as cancer of course only a fool would choose to smoke,['asthma' 'smoking'],1.0,203,24
what causes prostate cancer,seems to be due to side effect of some medicines that you have been taking get blood checked sinus infection also needs to be considered,['prostate cancer'],-1.0,136,27
for what purposes are ultrasounds used,you will need to have a consultation with a pediatric endocrinologist    a specialist who can determine if you have a true growth disorder that is hormonally correctable,['ultrasound'],-1.0,169,38
what is colorectal cancer,hi this cannot be labelled as stroke tia transient ischaemic attacks like these happen when the arteries are constricted due to atherosclerosis causing reduced blood flow blood thinners and de stressing will help ct angiography tests should be done regularly thanks,['colon cancer'],-1.0,265,25
what the best way to cook green beans,no treatment of benign prostatic hyperplasia bph is usually reserved for men with significant symptoms watchful waiting with medical monitoring once a year is appropriate for most men with bph,['cooking'],-1.0,192,37
is tens e stim safe to use for prostate,hi there is no evidence that tens can harm your testicles in any way for prostate pain you should apply electrodes behind your testicles and just above penis good luck,['is tens technology safe'],1.0,167,39
what does sugar in the urine mean,i have known patients who have used them for this unusual purpose but i cannot support the medical efficacy of using hemorrhoidal cream for saggy bags under your eyes use at your own risk,[''],-1.0,187,33
can sinus infection cause swollen gums,i do have this symptoms occasionally with some serious pain in my gums and then it disappears i consulted my doctor about this and he told me to that it could result from the medication i was taken to threat the sinus ailment thanks,['sinus infection' 'swelling'],1.0,232,38
am i allergic to poison ivy,in my opinion you have hypnic headaches which can have vascular arthritis reasons or neural reasons related to a tumour i suggest you see both a neurologist and an oncologist take it seriously good luck,['poison ivy'],-1.0,202,27
how is hepatitis diagnosed,hi if you have not already gone go now this can give lots of problems good luck,['hepatitis'],-1.0,79,26
can h pylori cause itp,no the i in itp means idiopathic no known cause,['idiopathic thrombocytopenic purpura' 'h. pylori'],1.0,47,22
how can i get rid of tummy cellulite,of course gerber is a well respected company there is also nothing wrong with learning to prepare your own nutritious meals for your children based on table food,['stomach' 'cellulite'],-1.0,161,36
can i smoke while taking zyban,i am sorry but you will need to do your own test questions i am sure you will be able to find the answer 1,['smoking'],-1.0,106,30
is this skin mole dangerous,hi it does seem to be dangerous infact this isnt a simple mole its a abnormal skin outgrowth that needs immediate consideration do not neglect it consult a dermatologist at the earliest thanks,['is skin mole dangerous'],1.0,192,27
does cipro cause weight gain,the pain may not be originating in the spermatocele conditions like epididymitis can also cause pain in this area as well as tortion twisting or infection it would be in your best interest to see a healthcare provider so you can have this new symptom properly examined,['weight gain'],-1.0,268,28
what are the symptoms of osteoporosis,this is not going to hurt your prostate but it may not be considered normal for this to happen you will need to see a urologist in order to be properly examined there may be a minor surgical procedure that can fix this hidden penis issue,['osteoporosis'],-1.0,237,37
what is albumin,it was charles mayo of the mayo clinic who said people who keep their teeth live an average of 10 years longer than people who lose their teeth ” believe it i have seen it do whatever you can to keep all of your teeth,[''],-1.0,217,15
i have heartburn headache and vomit,hi u are suffering from sever gastroenteritis may be some food has caused infection inside your stomach take anti emetics and probiotics antacids will help cool down the heart burn consult a physician you may need to be started on antibiotics if things do not improve soon thanks,[''],1.0,279,35
is singulair a corticosteroid,no it is not a corticosteroid,[''],1.0,29,29
what are cre,cre which stands for carbapenem resistant enterobacteriaceae are a family of germs that are extremely difficult to treat because they have become resistant to nearly all and in some cases all antibiotics cre are on the rise among patients in hospitals and certain long term care hospitals,[''],1.0,288,12
can young children have osteoporosis,what drugs was given to him steroids will be efficient in his case his asthma is controlled or not = is he still on antiasthmatic drugs what kinda drugs is he using now,['osteoporosis'],-1.0,168,36
i need a ct scan how urgent is it,i believe u should do alp enzyme level if its high do the ct urgently,[''],1.0,69,33
what vitamins help migraines,vitamin supplements are advised in migraines for its prevention vitamins like vitamin b6 b12 vitamin c folic acid are proven useful to reduce the severity and frequency of migraine attacks these supplements also prevent the migraine attacks and improves overall the quality of life,['vitamin' 'migraine'],1.0,281,28
can genital herpes be only one bump,no usually herpes is a cluster of painful blisters,['genital herpes'],1.0,50,35
what conditions does pain & fever treat,this mostly is systemic disorder related to ra esr test and rh factor can make you near the right diagnosis also get a mri for your back if an autoimmune disorder is ruled out,['fever' 'pain'],-1.0,175,39
does using monisat 3 delay your period,no monistat 3 will have no influence on your period,['period'],1.0,51,38
what is anxiety,some symptoms of anxiety are  excessive worry sleeping problems irrational fears muscle pain chronic indigestion panic flashbacks perfectionism compulsive behaviour,['anxiety'],1.0,164,15
is h pylori a formof stomach cancer,as your daughter is suffering from std better you take opinion from specialist at this point taking care of hygiene is also important to improve her immunity to fight infections you can start her with tinospora and curcuma powder in equal proportion at dose of 3 gms daily with water,['h. pylori' 'stomach cancer'],-1.0,283,35
is a seizure due to fever dangerous,its mostly myositis chest ms spasm let me ask you do feel any pain related to meals any palpitation any chest pain that related to effort any other relevant other symptoms any medical hx are u a smoker drink alcohol that much  u need physical examination routine investigations like cbc rbs ecg d,['fever' 'seizure'],-1.0,296,35
are these spots next to my labia normal,i do not see any abnormality in your labia are there any symptoms,['are these spots next to my labia normal?'],1.0,65,39
who should not get the shingles vaccine,hi but sorry the answer is yes you can still get pregnant why having a yeast infection may not be the answer you looking for or is it good luck,['shingles'],-1.0,143,39
in a urine test does serequel show up,u mentioned so less symptoms anyhow with such possibilities cholecystitis is quite possible,[''],-1.0,91,37
what is penile cancer,symptoms like chest pain that come on during walking or other exertion can be a sign of heart disease i recommend that you call your doctor now even if you do not have risk factors like diabetes or high blood pressure you could still have heart disease or another condition causing your symptoms,['penile cancer'],-1.0,295,21
can i reduce cankles with exercise,we have known for a long time that you can not spot reduce body fat is body fat and it does not matter if it is on your ankles thighs hips or belly    all fat cells behave the same way,['ankle' 'exercise'],1.0,184,34
what does all natural really mean,i know when i had strep throat every thing burnes and i could not swallow at all water burned the worst to popsicles and pudding was the easiest on my throat,[''],-1.0,157,33
my hand went numb today,these are tiny ganglion cysts surgical removal of the cysts is to be done if they become painful otherwise you can leave them as they are compression bandages over the cysts can avoid increase in their size,['hand paralysis'],1.0,206,23
what is dementia capable,to add on it can be an insect bite reaction too so please be sure about a possiblity of insect bite also while consulting your dermatologist,['dementia'],-1.0,140,24
can i swim in a pool after i give birth,you need to get a specific okay from your ob gyn since the details of your birth is not known i do know how long it has been since your delivery the type of delivery you had and of course no other details about your medical history,['birth'],1.0,231,39
is there a generic for cymbalta,here you go <link>,[''],-1.0,18,31
what is genital herpes,please please refrain from using webmd medical sites for your advertising your inappropriate postings take up valuable space for people seeking answers to their medical concerns be respectful,['genital herpes'],-1.0,191,22
should i nap,no lyme disease is caused by a bite from a lyme disease carrying tick there is no medical evidence that a bone graft causes lyme disease,[''],-1.0,136,12
what are the symptoms of stomach cancer,yes robitussin is safe to take with lexapro i suggest you talk to a pharmacist who can recommend a product that is safe to take with lexapro one that can treat your specific symptoms if the robitussin does not work,[''],-1.0,214,39
is there a treatment for hyperglycemia,no treatment other than diet and exercises weight reduction relaxation technique if you are nervous chromium supplement is proved to help,['is there a treatment for hyperglycemia.'],1.0,137,38
do seamen help with facial acne,i like yoga i always feel rejuvenated after yoga,['acne'],-1.0,48,31
can sinusitis “trigger” asthma,warts do not have goo in them they are solid masses i would question the diagnosis and consider dyshydrotic eczema as a possibility especially if these bumps tend to itch,['asthma' 'sinus infection'],-1.0,170,30
is there a way to reduce my sex drive,though seems more of viral infection mostly chicken pox still hfmd cannot be entirely ruled out as a clinical variant of hfmd can also present in similar fashion maintain good immunity and give anti pyretic medicines as and when required,['libido'],-1.0,237,37
infected finger becoming numb,it is clearly infected very common in people on allergy medication i recommend you go to er for pus drainage and suitable antibiotics good luck,['infected finger becoming numb'],1.0,143,29
can you take tylenol with adderall,yes these two drugs are compatible at the recommended dosages,['acetaminophen'],1.0,61,34
what causes back pain in pregnant women,l stands for lumbar and l4 and l5 are the last two lumbar vertebra before your tailbone,['pregnancy' 'back pain'],-1.0,87,39
how does alcohol affect pregnancy,this may be morton is metatarsalgia or hyperuricemia get xray and uric acid levels in blood checked use soft footwear take anti inflammatory medicnes tablets like colchicine allopurinol can be used if uric acid levels are higher,['pregnancy'],-1.0,228,33
is bleeding after sex a big deal,yes these two very different medications are compatible if taken at the same time,['sexual intercourse'],-1.0,81,32
i need a ct scan how urgent is it,gall bladder sludge is usually detected on transabdominal ultrasonography but ct scan will show its contents and formation so this will help the treatment so ct is important and should be done the earliest possible as no complication should happen regards,[''],1.0,255,33
can lecithin help lower cholesterol,lecithin is another widely promoted lipid lowering functional food that is derived from soybeans and sold as a fat emulsifier  many people believe that this emulsifier actually breaks down fat and cholesterol in the bloodstream these claims are totally unsubstantiated by any medical literature,['cholesterol'],1.0,294,35
can you use tampons if you have hsv,most helpful answer yes the use of tampons is not contraindicated if you have hsv herpes simplex virus although depending on the location of the herpetic lesions inserting a tampon could be uncomfortable it is really up to you to use tampons or not,['tampon'],1.0,248,35
how to relieve hives  for adults,i would start with an antihistamine benadryl is an old reliable and usually tolerated pretty well you may want to try the benadryl gel if you want to go straight to the source of the problem this also helps avoid drowsiness,['hives'],1.0,223,32
am i suffering from achalasia or gerd,yeast infections just happen active sex life or not i see just as many yeast infections in babies and children as i do adults some people are just more prone to yeast,['gerd'],-1.0,166,37
can ear plugs cause ear infections,yes external ear canal infections otitis externa swimmer is ear can be caused by ear plugs but not middle ear infections,['ears'],1.0,120,34
can i get pregnant while taking lybrel,sounds like uterus or left ovarian tumer also your signs indicate liver problems probable due to all those medications i recommend checking your liver enzymes first then doing a pit scan if liver is okay,['pregnancy'],-1.0,203,38
can to much fiber cause constipation,water is the key fiber helps constipation but only if you are drinking plenty of water,['constipation'],1.0,86,36
excessive face and head sweating,its due to your hormonal changes take multi vitamin tablets wash face frequently check yourself for pheochromocytoma,['excessive face sweating' 'gland problems'],1.0,116,32
is sinusitis contagious,amantadine is a drug that improves the symptoms of parkinson is by increasing the amount of a brain chemical called dopamine amantadine can reduce the involuntary movements of parkinson is disease by acting on other brain chemicals as well,['sinus infection'],-1.0,239,23
abnormal discharge during my pregnancy,it is extremely unlikely that bacteria would grow on a toilet seat then get into a person is vagina or urethra i guess the chances of this happening maybe one in 10 000,[''],1.0,168,38
does l lysine help with genital herpes,many people feel that l lysine helps but scientific studies have not proven it to be efficacious,['genital herpes'],1.0,96,38
what triggers psoriatic arthritis,probably not but an extra vaccine will not really hurt him he can always get a blood test to see if he has an hep b antibodies present if he does he does not need another one,['psoriatic arthritis'],-1.0,174,33
what causes osteoarthritis,while there is not any single cause of osteoarthritis there are several risk factors associated with it these include advancing age excess weight and obesity and history of joint injury andor overuse family history of osteoarthritis is also a risk factor,['osteoarthritis'],1.0,254,26
can cpap machine cause pleurisy,no pleurisy is inflammation of the outside lining of the lung and lung cavity usually caused by a virus the cpap will not cause pleurisy,['cpap' 'pleurisy'],1.0,136,31
how are migraine headaches prevented,if this is happening only on his hands then its due to a allergy anti histaminic and steroid based creams will be helpful if its all over his body then it needs a consultation with a dermatologist,['migraine' 'headache'],-1.0,196,36
what conditions does motrin ib treat,seborrhoea is increased oily secretions from the sweat glands of the skin it occurs often in those with parkinson is disease,['ibuprofen'],-1.0,124,36
would a sprained neck induce a headache,it can some of the muscles of the neck attach directly to the skull this can cause a muscle tension type headache,['sprain' 'neck' 'headache'],1.0,113,39
how marajuana helps brain cancer,the use of marijuana does not change the course of brain cancer the only way it tends to help is by improving appetitereducing nausea when a person is under treatment all other scientifically unproven claims should be taken with a grain of salt,['brain cancer'],1.0,244,32
how to control my high blood pressure,she can become anorexic again in a flash so it is very very important that she be weighed carefully many anorexics know how to trick the scale on a weekly basis and be under medical supervision,['high blood pressure'],-1.0,193,37
what are secondary brain tumors,no not at all your doctor should have told you this is the main side effect i didnt have one for 10 years unless i missed my shot or had a spot here and there,['brain tumor'],-1.0,158,31
does ringworm mean i have worms,yes your husband can apply for coverage through the marketplace employers are not required to offer coverage to spouses,['ringworm' 'worm'],-1.0,119,31
i have a tiny mole is this cancer,hi only itching and crust formation over a mole are not indicative of a malignancy increase in size change in color and its texture are the alarming signs keep a watch on these issues consult a dermatologist to confirm thanks,[''],1.0,225,33
